"External ID","Name","State","Country","Zip"
"__export__.res_city_19195_1b2124d8","ARROYO URQUIZA","base.state_ar_e","base.ar","328001"
"__export__.res_city_19196_f81ed6de","ARRUFO","base.state_ar_s","base.ar","234400"
"__export__.res_city_19197_e5508185","ARTEAGA","base.state_ar_s","base.ar","218700"
"__export__.res_city_19198_107f0623","ASCENCION","base.state_ar_b","base.ar","600300"
"__export__.res_city_19199_a28726eb","ASCOCHINGA","base.state_es_co","base.ar","511700"
"__export__.res_city_19200_40a9fae9","ASPA SINCHI (BREA POZO)","base.state_ar_g","base.ar","420001"
"__export__.res_city_19201_ad010d19","ASSUNTA","base.state_es_co","base.ar","267102"
"__export__.res_city_19202_92dbd7a7","ATALIVA","base.state_ar_s","base.ar","230700"
"__export__.res_city_19203_c3b618e6","ATALIVA ROCA","base.state_ar_l","base.ar","630100"
"__export__.res_city_19204_bd677df9","ATENCIO","base.state_ar_e","base.ar","318702"
"__export__.res_city_19205_4fcf0ac0","ATLANTICO","base.state_es_co","base.ar","501001"
"__export__.res_city_19206_79ab1792","ATUEL NORTE","base.state_ar_m","base.ar","562201"
"__export__.res_city_19207_caf2a2e9","AURELIA","base.state_ar_s","base.ar","231800"
"__export__.res_city_19208_43827c0d","AUSONIA","base.state_es_co","base.ar","590104"
"__export__.res_city_19211_0b0e1c92","AVELLANEDA","base.state_ar_b","base.ar","187000"
"__export__.res_city_19213_3f1a6415","AVELLANEDA","base.state_ar_s","base.ar","356100"
"__export__.res_city_19212_a540da7b","AVELLANEDA","base.state_ar_b","base.ar","123400"
"__export__.res_city_19209_f773262d","AVELLANEDA","base.state_ar_b","base.ar","167000"
"__export__.res_city_19210_8c35fbd8","AVELLANEDA","base.state_ar_b","base.ar","186800"
"__export__.res_city_19214_d083a7bc","AVIA TERAI","base.state_ar_h","base.ar","370600"
"__export__.res_city_19215_c250cf2e","AYACUCHO","base.state_ar_b","base.ar","715000"
"__export__.res_city_19216_ec7889c5","AZARA","base.state_ar_n","base.ar","335100"
"__export__.res_city_19217_4f919628","AZUL","base.state_ar_b","base.ar","730000"
"__export__.res_city_19137_9e4d8a29","AÑATUYA","base.state_ar_g","base.ar","376000"
"__export__.res_city_19144_595a1ddf","AÑELO","base.state_ar_q","base.ar","831200"
"__export__.res_city_19143_ebccd140","AÑELO","base.state_ar_r","base.ar","830505"
"__export__.res_city_19218_11466da6","B.DE IRIGOYEN","base.state_ar_n","base.ar","336600"
"__export__.res_city_19219_8a0fad25","B.DEL MEDIO","","base.ar","838000"
"__export__.res_city_19233_827561cb","BAGUAL","base.state_ar_d","base.ar","570300"
"__export__.res_city_19235_768fc429","BAHIA BLANCA","base.state_ar_b","base.ar","800100"
"__export__.res_city_19234_e4b88317","BAHIA BLANCA","base.state_ar_b","base.ar","800000"
"__export__.res_city_19236_8468260e","BAHIA SAN BLAS","base.state_ar_b","base.ar","850601"
"__export__.res_city_19238_95c99a34","BALCARCE","base.state_ar_d","base.ar","588300"
"__export__.res_city_19237_b07f6a92","BALCARCE","base.state_ar_b","base.ar","762000"
"__export__.res_city_19239_879e466c","BALCOSNA","base.state_ar_k","base.ar","471900"
"__export__.res_city_19240_866e6bed","BALDE","base.state_ar_d","base.ar","572401"
"__export__.res_city_19241_27b21c8d","BALLESTEROS","base.state_es_co","base.ar","257200"
"__export__.res_city_19242_2c3ee691","BALNBEARIO RETA","base.state_ar_b","base.ar","751101"
"__export__.res_city_19243_e7259b18","BALNEARIA","base.state_es_co","base.ar","514100"
"__export__.res_city_19244_3664d889","BALNEARIO EL CONDOR","base.state_ar_r","base.ar","850001"
"__export__.res_city_19245_6fbc0f9d","BALNEARIO LAS GRUTAS","base.state_ar_r","base.ar","852101"
"__export__.res_city_19248_622f20c1","BANCO PAYAGUA","base.state_ar_p","base.ar","360105"
